ticker,mktshare,ipo_date
002009.SZ,"32,10,10,822.00",6/29/2004
002010.SZ,"48,79,80,000.00",6/29/2004
002011.SZ,"84,34,27,460.00",07-05-2004
002012.SZ,"46,76,25,470.00",07-05-2004
002013.SZ,"93,11,72,208.00",07-05-2004
002014.SZ,"32,57,58,450.00",07-08-2004
002015.SZ,"40,07,03,825.00",07-08-2004
002016.SZ,"80,90,95,632.00",07-08-2004
002017.SZ,"34,65,48,936.00",7/13/2004
002018.SZ,"1,19,88,56,538.00",7/13/2004
002019.SZ,"44,03,19,243.00",7/13/2004
002020.SZ,"28,64,50,919.00",7/15/2004
002021.SZ,"68,78,15,040.00",7/15/2004
002022.SZ,"51,25,69,193.00",7/21/2004
002023.SZ,"75,67,91,003.00",7/21/2004
002024.SZ,"7,38,30,43,150.00",7/21/2004
002025.SZ,"42,90,00,000.00",7/26/2004
002026.SZ,"35,41,34,251.00",7/27/2004
002027.SZ,"30,23,35,116.00",08-04-2004
002028.SZ,"62,49,80,610.00",08-05-2004
002029.SZ,"75,56,70,000.00",08-06-2004
002030.SZ,"65,90,18,611.00",08-09-2004
002031.SZ,"73,31,31,890.00",8/16/2004
002032.SZ,"63,28,75,188.00",8/17/2004
002033.SZ,"42,26,85,163.00",8/25/2004
002034.SZ,"8,39,20,000.00",8/26/2004
002035.SZ,"35,88,61,302.00",09-01-2004
002036.SZ,"26,07,81,856.00",09-03-2004
002037.SZ,"32,73,68,160.00",09-08-2004
002038.SZ,"68,49,00,000.00",09-09-2004
002039.SZ,"30,53,98,662.00",03-03-2005
002040.SZ,"24,58,72,000.00",3/25/2005
002041.SZ,"88,00,00,000.00",4/18/2005
002042.SZ,"83,29,92,573.00",4/27/2005
002043.SZ,"48,42,49,780.00",05-10-2005
002044.SZ,"1,21,07,41,353.00",5/18/2005
002045.SZ,"41,69,04,000.00",5/23/2005
002046.SZ,"34,05,65,970.00",5/26/2005
002047.SZ,"1,26,31,01,435.00",5/31/2005
002048.SZ,"53,00,47,150.00",06-03-2005
002049.SZ,"60,68,17,968.00",06-06-2005
002050.SZ,"1,75,51,26,198.00",06-07-2005
002051.SZ,"77,34,18,434.00",6/19/2006
002052.SZ,"68,29,59,694.00",6/27/2006
002053.SZ,"27,91,64,668.00",6/27/2006
002054.SZ,"41,98,09,471.00",7/25/2006
002055.SZ,"45,05,12,080.00",7/25/2006
002056.SZ,"41,09,00,000.00",08-02-2006
002057.SZ,"19,93,81,670.00",08-02-2006
002058.SZ,"14,34,48,332.00",08-02-2006
002059.SZ,"73,07,92,576.00",08-10-2006
002060.SZ,"60,11,31,029.00",08-10-2006
002061.SZ,"45,32,59,717.00",8/16/2006
002062.SZ,"78,75,00,000.00",8/16/2006
002063.SZ,"59,65,61,249.00",8/23/2006
002064.SZ,"1,67,68,00,000.00",8/23/2006
002065.SZ,"1,56,44,88,900.00",8/23/2006
002066.SZ,"23,10,00,000.00",8/23/2006
002067.SZ,"1,09,39,51,000.00",9/15/2006
002068.SZ,"60,70,63,596.00",9/15/2006
002069.SZ,"71,11,12,194.00",9/28/2006
002070.SZ,"63,52,58,156.00",10-12-2006
002071.SZ,"52,54,29,878.00",10-12-2006
002072.SZ,"17,60,00,000.00",10/18/2006
002073.SZ,"81,85,88,257.00",10/18/2006
002074.SZ,"86,23,32,112.00",10/18/2006
002075.SZ,"1,57,62,65,552.00",10/25/2006
002076.SZ,"36,71,59,836.00",10/25/2006
